user,text
"danicag","@GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha "
"widyatarina","KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ..."
"joshray","@redvinylgirl my mom has it. I wish you the best of luck "
"xGabii","I so hate homeworks -.- My head hurts so bad "
"_LadyT_","got the ebay blues! item i want jumped from no bidders to over $100 in an hour.. still has 3 hours to go. i'd better not get my hopes up "
"ACTinglikeamama","@gigdiary I know -  was a little depressed that we ate so much last night there were no leftovers today "
"Nasef","well the pc in my living room suffered a fatal partion lost, all my itunes library is gone.. and some docs with pics.... "
"Casey_Szulc","sad day: manu out for the season "
"fleurybanery","@stephenkruiser You poor spunky...its so sad...my Rotti made it to 10 and I had to go down the same path....I know how you feel "
"maTERIALfemme","im sooo sad right now  i need a hug"
"KatieJonas3000","wants her step brother home  im so worried, you dont even know. i hope he knows how much i care for him..."
"deannathach","@heidimontag just got done watching the hills! loved it! excited for the next episode! and im sad this is the last season! "
"Roses_Are_Red","@ryanmwilson aww that stinks!  *hugs*"
"triner","I'm tired. I feel like crap. And the world feels all crummy. Make me happy, USB disco mouse. "
"giselle88","i dont want to believe what im reading...buu,so sad "
"YoungStew123","Wondering why gamebattles is down "
"The_Book_Thief","White trash vs us... We were outnumbered.  http://twitpic.com/2y3jp"
"TeresaUlring","@emitstop So true, I have it and don't use it "
"mcdoogie","Spring break is here at last, but no one is here to celebrate "
"Superneej","Morning! Bah Car won't start.. waiting for the ANWB.... "
"A_Gael","@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official BAN, just disapproving family"
"Flipdesign","Balamurugan, a longterm member of the team is leaving this month. We'll miss working with him  hope he does well in his next venture"
"shesaywat","@JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know. "
"ValerieFlynt","I wanna rock a Maxi dress @ Coachella, but lacking funding "
"alexleebehan","Of course the baby is screaming in the crib the night before my first day back at work.  So I let him cry it out? Boooo"
"TiffinyB","I am home missing my baby  Busy week ahead Fri is a chill day with my guy and kids, Egg hunt Sat, Spiral and DMB Sat night and Easter!"
"MichaelPe","@FollowSavvy I never found her. everytime I click on her twitter thing through your myspace..... it goes to some dude's page "
"jennygacy","@stephenkruiser that's horrible  sorryto hear that."
"P_licious","@David_Henrie i cant find it! it says dtmafiaofficial doesnt exist!there's jus 1 dtmafia i found n u dun seem to b followin it  wht to do?"
"itsviolet","i thought you would support me on this "
"Nessie","augh, eff sarth  i stole some of MIL's nail polish, its pretty! =o"
"suzi98babe","Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight"
"idiom","The Hoyts Distribution NZ website isn't working for me. Great. And it HAS to be like this when I need it most "
"dreaaa","@crummyasshole i don't like that they only had him in the first movie  cillian murphy is hot "
"Lydisquidie","wishes for good old cartoons to come back. ie: Captain Planet! Where's Wally! Daria! (sadness  )"
"gladyschock","not feeling v good abt myself "
"Drama_Queen101","i just got a text from sarah "
"hoosfoos","Another day at centre point - this time an early start so guessing train will be rammed with commuters "
"rick93662","Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and Bioshock 2 I need more cash "
"niffyat","@d_castillo ugh, that's disconcerting "
"Southpaw217","@Devinthedude007 actually the whole site has finally been taken over by those damn russians "
"ikimb0","MY TWEETS ARENT GOING THROUGH "
"arielk","Just finished a delicious breakfast, my last in Paris  I'll miss milk, europe has the tastiest milk in the world, I don't drink it in US."
"robkellas","iLearn is down and out, great considering finals are this week... "
"harmonicait","@Carmonium i'm stressed outttt "
"UNCMN","Also I shouldve Bern asleep an hour ago "
"Christiansegall","trying to figure out this twitter thing...none of my friends are on  yet. Soo much to see."
"beeryce","Re-pinging @Kyle44: Custom icons I made! =] look cool but the edges could be less square  might look bad on a diff background"
"yo_its_shannon","I want to be back in LA "
"The_B_Ho_Show","@enterbelladonna i dunno how to use the forum and i get frustrated with it. i'll miss talking to you on here. "
"BrianG2k","@lilbucknuts41 not an option "
"zerhynn","@georgeruiz Unfortunately one of those moments wasn't a giant squid monster. "
"mynameissasha","@thestar_rage I want one too    is the branch in MidV open too?"
"wildbill","@daNanner aw, sorry to hear that. "
"aishaisha","Change of plans, we ordered Macs instead. Time to hit the books! "
"roboppy","@polhillian YUP. "
"txcranberry","@NKDreamer did you see Donnie's tweet stats? almost 700 @ replies...and no JRK "
"alanzeyes","@tim_grainger nah, I haven't received my stimulus yet "
"jackdanielzz","@ikimb0 i just seen ur tweet . plz write bak if u get this. i havnt got one reply bak "
"Linda8286","@McCainBlogette Awwwww and you were trying to go to sleep 3 hours ago "
"littlefoxy","@stephenkruiser I'm so sorry to hear that.  It's always sad when we lose those close to us, as we loved them."
"ep0pe86","cant sleep but im still feelin like a piece of shit "
"whiskey_kitten","@stephenkruiser oh  my sympathies. it's a hard decision. i always hope my old border collie will go in her sleep. she's 14 too. *hug*"
"SammyBooker","@josephheustess ...well there was this really cool part where... i wont spoil it "
"patrogersisgod","@limbecky I'm doing the time warp without you and am sad. "
"joehnlein","@theresawhite this is true, lol but it's still a slap in the face after such a warm end of march "
"Huddy1124","I hate converting movies just to put em on my itouch "
"peaceandlove7","gross i have a pimple "
"angelistic","@Torturedlady yea  ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol"
"miketownsend","one less follower tonight "
"koenn","@Unholyknight so did your mom last night.  brb while I figure out whether I just burned you or myself the most."
"pop_corn_","I feel like I am the only &quot;twitterer&quot; not on TweetDeck. "
"TheBoss63","@Wyldceltic1 He has Karate tournament in 8 weeks  "
"mf1077","going to sleep can't be up until 1am again...and no I didn't finish my statistics homework! "
"tgoldmann8","North carolina baby!! Aint nothin stopping them but the nba draft "
"mscproductions","Can't sleep again "
"jmbirney","I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks."
"amanu","is going to have a late one at MQU today "
"katiehufford","im so tired of work...i need a life.... "
"kelseyblondie","just leavin work, my feet hurt "
"caityisawinner","@PlayRadioPlay that was so sad and unexpected.  i totally cried haha."
"cartrouble","Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... "
"Reynaga12345","Still doing my homework!!! "
"ChrisVanPatten","A little sad "
"PamsLove","@deepbluesealove My Mom &amp; Dad both get up around 6...too early for me "
"stefanie_husen","should've been asleep two hours ago "
"lawschoolninja","@stephenkruiser So sorry to hear about your dog. "
"BkBap","Funny how the little things make me homesick, criminals breakn n2 a brownstone on LawNOrd CI made me misty "
"Beatmixology","@djsoulsister yeah, great vid. I had the 12&quot; single, but sold it a few years ago "
"mdzulkar9","im on val's mac in iitsc clubroom. still sweating "
"greatcorbinski","@stephenkruiser awww so sad!!!  I'm so sorry!!"
"alyssaisrad916","UpdatingFFE.  That gives me nothing to do for a good twenty minutes!"
"bellalucia","Hot compress not rily workng for pulled muscle  gng to bed, good night"
"amitgupta","Have an invite for &quot;Healthy Dining&quot; session at Ashok Hotel today with Exec Chef R.Chopra but damn workload - will have to skip it! "
"TheThreePeas","@stephenkruiser I'm so sorry to hear about your dog   wishing you happier days to come!"
"KWelkeBrom","@hellivina I miss 'em too. "
"sexygrneyes","@misstoriblack cool , i have no tweet apps  for my razr 2"
"Young_J","I'm off too bed. I gotta wake up hella early tomorrow morning. "
"Kena_Howard","still procrastinating... i hate organizing my clothes  there's just so much...."
"gerrymoth","Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did "
"still_b_here","@latroneb oh but there's one bestie missing "
"joyindiscovery","@esuriospiritus time to come back to flawda for double dates! no, seriously, i'm sorry to hear that. "
"grantzobell","I'm up way to late to be working for a client 12:10 AM  #fb"
"elenarr","blegghhhh i have to go to work "
"jj_1983","Back at work  @ John Muir Dr http://loopt.us/KoqAbg"
"jacob_hilton","@DAChesterFrench I emailed you yesterday and u never responded "
"tmgeary","It's going to be a long year for A's fans. "
"purrtygurl717","Just got done watching the new House episode.Definitely one of the saddest episodes ever. "
"stevejabs","Man... taxes suck.  I'm horrified that i did something wrong on them.  TurboTax decided to keep around a lot of the stuff I turned off.  "
"sirultimos","Sleep time.  Tomorrow is gonna suck "
"Rayveniael","WTF Not Kutner!  Oh I'm so pissed @ House.  I mean really WTF   "
"Fang04","@AmberPacific i know i dont know why i said that "
"candicebunny","CASH RULES EVERYTHING AROUND ME "
"RobKardashian","Just picked up some oats from the market to eat for breakfast with my boy @adamgoldston now time to do work at USC... late night "
"Hanster7705","i feel sick  too much icecream"
"sambg7777","@faithgg45  this computer doesn't have shockwave...blah  no account yet"
"seriouslyben","@RubyRose1 awww wish i could go! but its in sydney "
"vanhall","@luxuryprgal hahaha suriously! I feel like everyone knows this show is a joke except lc! "
"SoledadP","I just can't spell today, i totally suck "
"dianaroua","are you vaccinated against chicken-pox?should I vaccinate my 3 yr old?I am SO confused about this damn thing "
"niko_the_best","@ school  at least last day!!!!!!"
"NakitaRose","Yawwwn! Gotta get up early tomorrow  who's ready for the weekend???"
"pinkflamingo9","i miss being at home for calving season...sad that black one died this morning  wish i had some bottle calves!"
"perrythebirman","@stephenkruiser i so sorry for your loss. my brother dog sam is sick w/cushings disease. "
"jj_1983","Back to work. I get to spend the next 8 hours alone in the dispatch room "
"SarahNicole26","there's a new kind of starburst: favereds. sounds fab, bc cherry and strawberry are MY fav red's but they added watermellon and its yucky "
"Theatergirl62","Well, so much for being productive on my 2 days off from Angels "
"squishymatter","@andreabakes Oh gee - insomnia sucks   Have you tried melatonin?"
"kow_shik","@vivekg86 Good to hear that we have support in NetBeans. But then its NetBeans you know "
"UmmUthman","@heidimontag I wish we would get it the same time at the rest of world. unfornately I am in Cairo and have to wait for mtva to play it "
"elohveee","heartbroken over little sandra. prayers are with the family. "
"stranger_danger","@hadtobeyou I'm at 900 words, it's all can do  I'll finish tomorrow maybe"
"fuzzywuzzy1","@shortiethug how come ur background covers the screen but mine is in the corner? "
"gamwyn","Wrote exactly three lines of dialogue tonight, then gave up. "
"kryptonsite","@ashman01 My only complaint about Facebook is they've changed it so much it's confusing "
"kristie__","Sliced my finger "
"shroedernz","going thru town and traffic on bypass is stink "
"woflln","Ugh can't sleep.  Wish i had a good cuddle to  Make me ass out "
"Skooj","I hate when software update downloads updates without telling me. I never know what's downloading when it is "
"rchlrchfrt","went to ihop again. Great for a diet   At least there were no kung foo pancakes this time. -Rachel-"
"TheCuriousCase","The internet is hating me. Night i s'pose. "
"Migg","@contactabe I'm so jealous.  I missed all of opening day this year "
"bonk_onthehead","It's so cruel having to wait for reviews to come in.  So far it looks like Star Trek will be the best film of the year!"
"sheilaelaine","Debating if I should just shower now, so I can sleep a little later tomorrow "
"jlkmustang","My stress always culminates with physical pain.  "
"caitd86","need to sleep. but cant "
"John2x","my little pinky finger hurts so much.. "
"marythedork","@sarahsaturday I'm sorry your gift card ran out.... That suck. "
"LeahPaskalides","home for spring break. no one is home tho "
"bgmahesh","I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages "
"Kelsey_Leigh","Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well"
"katdogs","@MTsiaklides aw I wish I could! I can't really speak to my yia yia because she doesn't speak english "
"Syppress","@winggato no free comp lol "
"carebearCC26","getting ready to clean the house from top to bottom "
"MaddiganROSE","crying  my friend is moving away tomorrow "
"xXRawrJanisXx","@swiftkaratechop STOP NOMNOMS!!!! ..you didn't share!  Night peoples!!"
"shuvra","thinks she is getting a cold that she caught from Daddy.  Oh no, my trip would be ruined. "
"widyatarina","@moony394 yeah  is it bcoz kal penn is a visiting lecturer somewhere n cant be on the show anymore? im gonna miss him "
"upsideumop","So the procrastination starts early in the quarter. I don't want to reaaaaad and write a paper "
"karenlikeslunch","What? Apparently it's 52 degress at 11pm in Washington State. I miss winter already "
"awesome_jordy","being bored at homee "
"itsjordanbitch","massage was great. i just spilled coke all over my desk  lame. watching the simpsons as i've finished all my hills dvds."
"aleskywalker","@nick_carter I will wait for you at fanclub chat.. even tough you're not my favorite "
"melvinchia","has a mild left inner ear infection.. and its got this irritating &quot;blocked&quot; feeling since sunday.. "
"JessicaHamby","@JaneBodehouse Hey there! Nope. My cuteness @HoytFortenberry is away for awhile "
"sineadfitz","It's only tuesday "
"JaniceMyNig","Haha not even yo. I just didn't know how to do that @thang to you on twitter  Haha"
"Zwaapeh","Someones alarm clock or a phone woke me up at 3am...Still got my headache from yesterday night "
"AndiVoci","@kalichosich awww poor puppy is she ok? "
"NikNaki08","i might break down and eat some buffalo wings tomorrow "
"lynea8472","Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of"
"alicebeneicke","Fed bokkie too many birthday treats-sicko "
"TommieGreen","'s Kinda Bummed. An Agency Just Told Me That I Didn't Have The 'LOOK' That They Were Going For. Ladies, Please Help Me Create The 'LOOK' "
"Monika29","Work laptop is officially dead .. Not happy at all.. "
"Danaye","My goodness, it's freezing down here !!!!! "
"TaraEn","@heidimontag why do you put up with him!!!!!  You should listen to your mom "
"idrisjoel","is stucked in Paris and can't even travel into France (for work) "
"r_i_p_86","@JoannaFBeckett, i don't think there's one close by. Last time I checked, the closest one was 70 miles away! "
"mishkia","aaaaand back to my literature review  At least i have a friendly cup of coffee to keep me company."
"courtneyjayne88","I am worried that I won't get my $900 even though I paid a buttload of tax last year ! "
"murielara","Okay, so.. STILL NO SCHOOL!!!! "
"milah89","IS PHONELESS  ...NOW OFF TOO SLEEP"
"CelesteChong","Reeked of alcohol at the dentist this morning + was drunk when i put on my tshirt, realised it had a huge stain. Dentist looked disgusted "
"torriRAWR","it is really cold "
"LittleOne1210","cant sleep  she wants to dream!!"
"emily_fox","Can't sleep  I hate these nights when I try to go to bed early and stay awake for hours. Poo!"
"Pan_duh","@rootbeersoup Yeah. Too bad people like a certain burrito-eating man exist. "
"gravitybomb","@Cronotriggers  that's sad."
"SpazOfDrool","just found out that my mum  and my adopted auntie are on twitter.. check them out my mum is TessM64 and my awesome as auntie is tania38"
"motof5","Cannot sleep....WIDE AWAKE!!...and I gotta go to work later too. Boy, am I going to have a crappy day. "
"lahood19","struggling with eam law "
"mfzbdale","Why can't I sleep like her  http://twitpic.com/2y3ty"
"policano","Bouts to start 24. Poor linny couldn't keep her eyes open.  she tired and has to work tomorrow morning. Night @ilovefatsusan."
"MJPhotographer","My 4 year old (18 year old) is driving me around the twist...i don't want to be like this "
"sfpoetic","Well, that sucked. "
"theresaxo","i have to be out of my place in 3 days...any help i can get packing/painting/cleaning is much appreciated. oh. and RIP my wall  "
"EvilChick","Opening a partially frozen beer= Beer on the toaster, under the oven and all over the counter. The kitchen smells like we run a speakeasy "
"allynrawr","@stewiebrittany no  i dont even know how to ride it"
"Hanster7705","@MonaSmith sadly, yes. i think i need counciling now "
"coletje1","making myself ready for school...don't feel like going, but have two tests "
"acecortinaboy","Smugness gone. My train also failed to turn up so I'm heading for Victoria followed by an unpleasant tube ride to the City. "
"mandakaye","Anybody know where my iPod went? "
"massacred_mind","aww this earthquake in Italy has made me sad  just saw the pics on the news, it's terrible."
"DJNephilim","@lilibat never been able to afford to get them out. I'd much rather go through the extraction than continue with what I deal with now. "
"SleepyShadow"," Why do other pet care people try to run others out of business? Or send suspicious e-mails fishing for info?"
"alice_wonder","@kameelahwrites &lt;33 codez....they've been MIA tho "
"EikLovesYou","@reannaremick doesnt work on my cell  go to sleep! =P"
"addictedtotext","it's going to be nice again tomorrow and then the rain comes back. no nice weather for my birthday "
"djbabyyu","@taliasunset rock band is hard..on expert!!! "
"jennkitty","@beachbassbone: roomie was home all day. All he had to do was scratch at the door. Comforter has to goto large laundromat machines. "
"ChrisMoody","One of the hardest thing with this schedule, no one I can chat with at the end of my day usually "
"fats","they killed off a character on one of my favorite shows and now i'm upset "
"Cheri_Howell","jealous of my friends who got to see the new Star Trek film in Austin tonight. "
"jameseverton","Listening to Q! I got a really bad headache and a drivin lesson in ten mins.... Lucky me  i just wana sleeep!  "
"Moonflowerchild","@Steve_Buscemi SHUT UP you...I am hungry! And in Britain, home of the most boring suckassy breakfast in the world!  I MISS DENNYS!!"
"StrAbZ","good morning everybody! pkoi y fais pas beau  bon coffee time!"
"flashbrother","work again "
"Jallenwhit","Essay time.... "
"sunshinegarma","@chauncey78 hey did u talk to mom.. r they home yet? i hope they r ok.. wish i was coming home 4 easter.. "
"xmidnightdreams","@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. "
"sunshinebliss","@widyatarina say what??? kal penn's leaving house?! noooooo!!! awww... i totally missed it tonight "
"emilyalltimelow","no! i lost a loyal "
"Breeze_81","played another hand very bad and lost half my stack "
"Leggetron","It's 6.20pm - early days in a looooooong night at work "
"OhMyChristine","@yaykimo It's sad it's the last season.  I wanna see when Spencer calls Lauren!"
"NesbyPhips","So Im done editing &quot;The Phipstape&quot;. Back 2 crack a brew and see what we got............. no trees though "
"JamesDeen","@rj i don't know what half of that means "
"babyKxox","homework homework homework "
"harvick29fan","worked his heart out today, doubling my weight at each station. Result: Stiff and pulled muscles... OUCH! "
"janeetmb","@MeLaMachinko now i feel bad for unfollowing. "
"Madrigal77","So... Tired... God I hate the new job, and only two days in "
"BreThayer","Sad about Kutner being killed off my fav show House! "
"lamarmcarter","happy for Coach Stringer (HOF c/o 2009!)...now if I can only finish my term paper on her "
"urbanrocker","I feel like shit. This is NOT the way I want to spend my birthday's eve "
"strifethe3rd","so far i have 311 on all my sites put together,  most of them were me checking out the updates i made......"
"Ember_X","has a lot on her mind. I needs to make some moneys. And ideas. Nowhere is hiring! "
"xGabii","@emiliexclarkex miss you "
"tygerbaby","@stephenkruiser I'm so sorry to hear about your dog "
"nubblecakes","Too much internet. How it plagues me "
"lcmroz","i miss my ex soo much "
"schofs_travels","Sodding M25   http://twitpic.com/2y3y0"
"nexusv2","oh I thought the pirate bay trial verdict was today :-s apparently it's in 10 days "
"patrick_ritchie","@featherinair call me back. "
"divingkid2001","is in study hall now, and i will log off immediately.  http://plurk.com/p/mzxbg"
"raciedo","it so tired that im crying for no reason at all. im about to try to get an hour and a half in for tonight. half what i got last night. "
"gmthomas","I totally have like...  four girl options, and none of them seem viable "
"strifethe3rd","so far i have 311 veiws on all my sites put together,  most of them were me checking out the updates i made......"
"BOYTRONs","Listening to Bjork's All is full of Love... crying "
"sweetkarekare","Omg the hills! Then I love money2, aww I think becky buckwild goes "
"Ninerwiner","is craving for some tantan nabe  http://plurk.com/p/mzxcs"
"YoungFlame","C'mon sean man "
"noslennai","Watching &quot;a league of their own&quot;...makes me miss mint chocolate ice cream cones and my grand ma  fuck."
"Setmefree2","Lost my phone some where.maybe in the grass, its just so long, hope it doesn't rain "
"NTHR47","@tomatosalsa hope you aren't referring to me  say hello to your new stalker LOL"
"hernameisXstine","@brettyboo why were u sleeping?! Ur gonna be up all night now  how was ur bike ride?"
"TGaucho","@SLessard But, but, but . . I wanna listen to the masters too!  "
"Catmoo","@Sephystryx I've been looking about for good stuff to write, but also been doing loads of uni work "
"totallybiannca","i feel unloved. dropped 2 tweeters "
"Podpodley","Off to London for the day on Thursday, it's gonna be raining, oh fab  won't see much on the London Eye! Still Robbie won't care bless him"
"kasperapd","Completely wiped and reloaded the 8900.... Lost all BBM contacts    Going to bed sad."
"ChelsiMarie","@mykele sayyyy whaaaa? I wasn't invited... "
"nathanryder","Didn't sleep too bad considering I have a workshop starting today. Beginnings of a sore throat though "
"imcute519","@astewart87 oh my gosh that made me emotional haha idk why!!! i dont want to get old "
"thejakartaglobe","We're going to post some stories manually due to Twitterfeed problem. That's why we've been so quiet lately .... "
"mandahs","i don't like lukewarm showers "
"ryanmcgrath","@linuxfoundation - Who should I contact if I need a 1099 for freelance work I did on Linux.com throughout 2008? Never got one. "
"helmetcheek","@skylineking722 connor, it's me, febi  are you really really mad at me??"
"Kishya","Need some help?! Want to buy a Macbook pro, but still inlove with my old powerbook! "
"williuscaesar","@michaeltao man america is so .. borez anyway lol i just realized you sent me msgs on here. i had no idea. i have no flash "
"rockstarchick","@hellivina @IHOPness g'knight lovely ladies. i'm sleepy now "
"Bennro","Does anybody know how to get your electrolytes back in order? With a vitamin work? I feel sick. "
"TheEngTeacher","@sudam08  yes, someone hasn't been reading my posts properly  "
"teaogler","Almost through with my Italian homework!  Weeeeee.... now if I only understood what I was doing.  "
"mark_cowley","Who turned the lights on? It will be time to get ip then "
"DangeresqueBen","@therealnph Twitter hates us both then.  "
"katellora","I hate the fact that I'm genuinely excited about my last tweet "
"BerinaOhh","@celesteclara i can't sleep either "
"hermorrine","@TheBlondeTheory Between that and the Italy earthquake, it's been a very sad news day. "
"LeMonjat","@champagnemanoir all rain today  . Garden really needs it so not quite so bad."
"georgewoods007","Yawn yawn yawn!! 10 more minutes in bed "
"squishymatter","@MajesticFlame ouch - sounds very sucky "
"psculthorpe","@bengottlieb Great idea with the iTunes promo codes - they don't work in the UK iTunes store though "
"Nessie","@mattycus  *cry* "
"gi_gi_bee","@RumLover An empty rum barrel is a sad rum barrel. *shakes head* the horror, the horror.  "
"pcholody","It was a sleepless night "
"HannahLins","@BillyBush she admitted to being a fake  "
"tessthetraveler","@BATMANNN  i love chutney......"
"eshaniprasad","got highly bored today scanning 24 pages for daddy. Had to do it! "
"gayrath","@misterphipps you cooked risotto without me!!??? "
"Geoffasaurus","Keeeerrrrriiiiii!!!!  I really have nothing better to do then post on this thing at 224am.....wonderfullll. Says alot."
"c8linodonnell","YAY FOR BASEBALL SEASON! boo to yankees losing their first game "
"girlsandnylons","LOST sucks  ... because i have to work today"
"tammy_x","omg exams killed me  how could i not know the difference between haif a circle and a hemisphere &lt;/3 &gt;"
"Iam_S","In bed... I suddenly feel  I wish MA was here w/me... Goodnight TwitterFam"
"WeirdMeta","@RachelCmrn I don't like goodnights "
"skeetonmytwitts","Greaaat my lappy won't turn on  wtffffff"
"pfspleen","@M4RKM  You stuck in traffic then? My journey was traffic free this morning, if it's any help."
"ellaireyantis","Lookin like an all-nighter. I hate it when I do this to myself "
"CristaltheGreat","@vernonhamilton You're a stranger   "
"TigerHasse","Debbugging old VB6 code, the day could have started better . . .  "
"Chanabellarina","@toddlington only a quarter of a percent babe  darn"
"Poe4","Coming down with a cold or bad allergies. Either way, I'm miserable! "
"mechista","Can't believe Cutner is dead on House! Sad day.  in Santa Rosa, CA http://loopt.us/ORPL3A"
"browncoat24","Damnit I was really digging this season of Reaper  http://www.tv.com/story/13720.html?ref_story_id=13720&amp;ref_type=1101&amp;ref_name=story"
"noelleee","Gah, Comcast doubled our cable/internet bill w/out telling us, so we are quitting.  Can anyone suggest an affordable company in bay area?"
"liamkeaton","Another early morn with the Duchess, although she hadn't managed to cross her legs this time "
"dianapwns","@alexbigman you left without saying hi! "
"kog_54","l want, but I can't sleep "
"NickCummings","@TracyDowds When an Xbox shows those three red lights, it means it's dead and needs to be fixed for a month at Microsoft HQ. "
"seatowngrrl","A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing."
"imaginaryemily","im boredd. gah  i wish i could just sleep and get it over with but ive had toooo muchh cooooffffeeeeeeeee  bahaha"
"JustinKoselke","@whyinthehell If I may butt in again.  I'm done being nosey.  sorry your conversation was just so interesting!"
"yellows_rock","@smokey_robinson  you fell off my list...did I offend you?  "
"kissbliss1","18 weeks till sisters home.. i missed her call, again! its the worst feeling in the world. "
"joiette","gonna try to get some sleep in this hotel room "
"cartimandua77","@chimpytwit brilliant idea. just bring as much as you think you'll spend &amp; I'll swap you. bring a brolly "
"canu_diggit","@SimoneKali Get me an autograph and shout out! You have to record it though. My computer is dead so I can't listen. "
"RavenSu","rt @KimKardashian Khloe just got fired from the Apprentice "
"exortabreedoll","in biology class. my lip hurts "
"mariusw","Sorry for the next tweet... "
"carlygirvan","Grr not down to go to school today "
"Rosebud","@jennlopez I had to get an HD tivo and just got it set up tonight in order to get channels 40 - 59. "
"evanhaldrich","@mouthsex i asked everyone how they were doing yesterday and not a single tweet back "
"Celz29","@adame ruddy money!! i like it!! still waiting here.... oh what a surprise... by state too?? hmmm....... seriously!! "
"CourtneyCuomo","@Kal_Penn I am so sad  Kutner was my favorite of the new team!!"
"ConstanceClark","@MarcusMims wow i didn't get an &quot;hello&quot; u suck "
"sashasimply","bedtime, school tomorrow, and i still have no books  being broke suckssss"
"Meg_Nutz","Seating here helping my baby with his papers...well he is forcing me too seat with him  im sleepy"
"deck86","Synching my contacts from my old mobile to iPhone. Import does not work well "
"ylizabeth","i can't concentrate "
"tomazstolfa","I've just spent 1 hour to enter all the bureaucratic nonsense for March. What a waste of my time "
"Materialgirl21","Nw more confused then ever! "
"earthtoryann","Not feeling well again. Stupid migraine making my tummy upset.  and my whole body aches, shoot me now."
"grinc","Reading Buyology before bedtime... great premise but only turning out to be an &quot;OK&quot; book - lots of info I already knew "
"BW101","Home! I really wana sleep, but due to wasting my free line in town I have an assignment to finish "
"mariejamora","@hellobebe I also send some updates in plurk but i upload photos on twitter!  you didnt see any of my updates on plurk? Zero? "
"princeralph","omg... &quot;The Reader&quot; is making me "
"vinternals","@cloudpimps d'oh! At least you're getting a decent exchange rate at the moment, sterling is still getting flogged "
"teejay0109","tried to download tweetdeck but it wont download "
"mahlersoboes","There's an inch of snow on the ground (and counting). I'm worried about the poor flowers "
"livvy22","@dweeman why aren't you a happy camper? "
"LarryEisner","@dkoenigs thanks man.  I'm so very grateful.  I feel unworthy of such attention, though, because I'm in this because of myself... "
"ohmigosh_dusti","@t_wolfe  i miss u too. i'm totally comin back tho! Lastnight was sooooooo much fun!"
"tiphaniebrooke","@sniffinglue ohhh. I love it. ps I'm sad we didn't get to hang out "
"rinahannah","And somehow I still end up in this place "
"ecjc","@kisluvkis oh that is very sad, poor boy. "
"Saphyre1969","@JonathanRKnight @silver_tulip27 Um, that would be a hell no to the fugly poker dog pants on the cruise!  Hi Jonathan, sorry I missed you "
"nurainiffah","I'm doing my homework. It's gosh darn hard!! "
"francheza","definitely no vacation for me...   http://plurk.com/p/mzygb"
"BrandesAsh","'study group extraordinare' about to leave campus...some of torts outline finished-good thing-but sleepy as h*#@...will be back@ 7am "
"Buffaliscious","Why can't airfare go down? Or, why do I have to live in Texas!! I don't know if I'll be able to make it to Iowa. "
"bendoyle","@j_stricko I found it pretty frustrating. stupid monkeys "
"Melamachinko","@lenesha but Im not feeling well, mommy... "
"tedarrius","@lovebscott Nope, I'm Right Along Wit' You! "
"berlingalvan","so a murder? gotcha.  Cant believe it"
"kurosevic","@nbensalem i'm sitting at my house and i'm sooo not looking forward to my one class tomorrow. "
"impathy","Ordered some maternity clothes online, which came today. I got something strange I didn't order, not in my size. And stuff is missing. "
"gabysslave","@citizensheep "
"Broskt","@thesage1014 I wish I could! Gotta work though "
"annabannana","@SeaGhostdesigns what happened to you on Saturday? You didnt show up... "
"PunkRockMom","@GirlsGoneChild "
"mizzoutigress09","Can't fall asleep "
"Askmewhats","I have mouth ulcer  so painful to talk and eat! "
"JustJames_","@danphelan Urgh, it was just the video, and they cut the Robots part!!! "
"Christieeee","my dog can't move anymore. praying that he will be okay "
"k_eak","@Kal_Penn you were pretty much my fave...not much reason to watch now "
"RooookieP","@Artistbabee but tht's annoying &amp;definitely not bitchy enough  he def broke like everything in me. he prolly doesn't even kno oct. 5!"
"kristenn_lynn","@mileycyrus hahaha dont be like that one time in NY when you got 30 mins of sleep then got sick  love you!!"
"ellaireyantis","@normalguyguide I can't! I have so much to learn about WWI by tomorrow at noon! "
"bsideblog","New Post!  http://tinyurl.com/cexkqy"
"Sallyroberts","@graemearcher I am sad about Innocent selling out too! "
"TRON_Lord","dang won't be able to get to any workshops run by web directions "
"HilaryBays","@BenPritchett goodness me, how did you find me?? it's good to hear from you Ben! I still have your video game and book...I apologize "
